,track_uri,artist_uri,genres
21,2qAv6N12wRj8RFv3VW0WgQ,0rasA5Z5h1ITtHelCpfu9R,german techno
21,2qAv6N12wRj8RFv3VW0WgQ,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
21,2qAv6N12wRj8RFv3VW0WgQ,0rasA5Z5h1ITtHelCpfu9R,minimal techno
21,2qAv6N12wRj8RFv3VW0WgQ,0rasA5Z5h1ITtHelCpfu9R,tech house
22,0Sc1K9MHIgDj69vEboQdYA,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
22,0Sc1K9MHIgDj69vEboQdYA,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
22,0Sc1K9MHIgDj69vEboQdYA,3BroLrMp9Q01yOnhLn9qxX,polish pop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,dance pop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,edm
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,electropop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,pop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,pop dance
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,post-teen pop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,scandipop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,swedish electropop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,swedish pop
23,4l3yTlSYSBZFQLglKaeyDv,1Xylc3o4UrD53lo9CvFvVg,tropical house
24,0HrsjBDJhO7xuuppEjv2FV,0rasA5Z5h1ITtHelCpfu9R,electronica
24,0HrsjBDJhO7xuuppEjv2FV,0rasA5Z5h1ITtHelCpfu9R,german techno
24,0HrsjBDJhO7xuuppEjv2FV,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
24,0HrsjBDJhO7xuuppEjv2FV,0rasA5Z5h1ITtHelCpfu9R,minimal techno
24,0HrsjBDJhO7xuuppEjv2FV,0rasA5Z5h1ITtHelCpfu9R,tech house
25,6ZogVK1P3r0v4SOLHho9JT,6yTYR09WCvsgdnurDW4WQo,dance pop
25,6ZogVK1P3r0v4SOLHho9JT,6yTYR09WCvsgdnurDW4WQo,pop dance
25,6ZogVK1P3r0v4SOLHho9JT,6yTYR09WCvsgdnurDW4WQo,pop rap
26,7L9CIIx5wzu4M2d54rY3Ee,52oUDzWKFjDiJoTBDGiET4,deep groove house
27,648pkipmFFGclYXCVQvahv,5spFDEIIv5V1yEHxIBStKH,dark clubbing
27,648pkipmFFGclYXCVQvahv,5spFDEIIv5V1yEHxIBStKH,polish electronica
27,648pkipmFFGclYXCVQvahv,5spFDEIIv5V1yEHxIBStKH,polish experimental electronic
28,0S1zJlL7LsOuHrsIjqEarl,0GPJYkHJm0Fpbhjovpm1h1,polish synthpop
29,0kU5CiEAZEpYGfU3h4KGcE,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
29,0kU5CiEAZEpYGfU3h4KGcE,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
29,0kU5CiEAZEpYGfU3h4KGcE,3BroLrMp9Q01yOnhLn9qxX,polish pop
30,0bdeLFRIziXGqXdz5UJDb0,7CJgLPEqiIRuneZSolpawQ,polish hip hop
30,0bdeLFRIziXGqXdz5UJDb0,7CJgLPEqiIRuneZSolpawQ,polish trap
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,big room
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,dance pop
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,dutch edm
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,edm
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,electro house
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,pop dance
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,pop edm
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,progressive electro house
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,progressive house
31,68UBEoNeK9h9DDRCS0vqBf,5ChF3i92IPZHduM7jN3dpg,tropical house
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,dance pop
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,modern rock
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,neo mellow
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,pop
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,pop rap
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,pop rock
32,52AIFe5X4Ac6kWMy0qRxEs,2oX42qP5ineK3hrhBECLmj,post-teen pop
33,1PZaxgYfkWPIvkcYrYl8gE,6OS2jyNVjuVsvA63jsw3Rf,norwegian pop
34,3pe05XBTPu2wpWwkVPzuUX,6EB8VE9f7Ut6NOgviN6gDW,polish alternative
34,3pe05XBTPu2wpWwkVPzuUX,6EB8VE9f7Ut6NOgviN6gDW,polish pop
34,3pe05XBTPu2wpWwkVPzuUX,6EB8VE9f7Ut6NOgviN6gDW,talent show
35,0Jb5dS1yA86aEoW9An0RyW,6EB8VE9f7Ut6NOgviN6gDW,polish alternative
35,0Jb5dS1yA86aEoW9An0RyW,6EB8VE9f7Ut6NOgviN6gDW,polish pop
35,0Jb5dS1yA86aEoW9An0RyW,6EB8VE9f7Ut6NOgviN6gDW,talent show
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,alternative metal
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,alternative rock
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,modern rock
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,permanent wave
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,post-grunge
36,3jmLLJDF3eWhcmgQYKRoHw,7jy3rLJdDQY21OgRLCZ9sD,rock
37,5mHyQVcu8eOWuYAUQ8KV14,6vNe5MINTo5QZyR08sBOBA,german dance
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,disco house
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,edm
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,electro house
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,house
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,pop dance
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,progressive electro house
38,5ViXszMzWLkBAAPVHZEjGv,4FqPRilb0Ja0TKG3RS3y4s,progressive house
39,2KMc0VMnE5ikCQChB1AdgW,05lF0DUkLJqiW5o70SScyR,drum and bass
