,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
7328,2021-09-03 08:21,Skrillex,Butterflies (with Starrah & Four Tet),195387,Skrillex:Butterflies (with Starrah & Four Tet),0,,
7329,2021-09-03 08:24,Two Feet,Never Enough,162337,Two Feet:Never Enough,0,,
7330,2021-09-03 08:27,Rudimental,Straight From The Heart (feat. Nørskov),207988,Rudimental:Straight From The Heart (feat. Nørskov),0,,
7331,2021-09-03 08:30,Major Lazer,Pra te Machucar,156647,Major Lazer:Pra te Machucar,0,,
7332,2021-09-03 08:33,Jean Juan,My Way (feat. Young Jae),173911,Jean Juan:My Way (feat. Young Jae),0,,
7333,2021-09-03 08:36,Elderbrook,Sleepwalking,184972,Elderbrook:Sleepwalking,0,,
7334,2021-09-03 08:38,Yves V,Not So Bad (feat. Emie),153273,Yves V:Not So Bad (feat. Emie),0,,
7335,2021-09-03 08:42,Habstrakt,All Night,204447,Habstrakt:All Night,0,,
7336,2021-09-03 08:44,MOTi,La Verdolaga,155325,MOTi:La Verdolaga,0,,
7337,2021-09-03 08:48,Swedish House Mafia,Lifetime (with Ty Dolla $ign & 070 Shake),186284,Swedish House Mafia:Lifetime (with Ty Dolla $ign & 070 Shake),0,,
7338,2021-09-03 08:51,twocolors,Bloodstream,180088,twocolors:Bloodstream,0,,
7339,2021-09-03 08:54,Juan Magán,Muñequita Linda,209991,Juan Magán:Muñequita Linda,0,,
7340,2021-09-03 08:57,Jax Jones,Feels,147609,Jax Jones:Feels,0,,
7341,2021-09-03 09:00,Major Lazer,Be Together (feat. Wild Belle),232385,Major Lazer:Be Together (feat. Wild Belle),0,,
7342,2021-09-03 09:04,BLR,You Bring Me Joy,210257,BLR:You Bring Me Joy,0,,
7343,2021-09-03 09:06,Mike Candys,Vibe,140579,Mike Candys:Vibe,0,,
7344,2021-09-03 09:10,Regard,You,232708,Regard:You,0,,
7345,2021-09-03 09:13,Major Lazer,Jessica,168200,Major Lazer:Jessica,0,,
7346,2021-09-05 10:23,Major Lazer,Mashup the Dance,229200,Major Lazer:Mashup the Dance,0,,
7347,2021-09-05 10:37,Years & Years,Desire - Zac Samuel Remix,19319,Years & Years:Desire - Zac Samuel Remix,0,,
7348,2021-09-05 10:54,Years & Years,Desire - Zac Samuel Remix,162928,Years & Years:Desire - Zac Samuel Remix,0,,
7349,2021-09-05 10:57,EC Twins,Revolution,194746,EC Twins:Revolution,0,,
7350,2021-09-05 11:01,Martin Garrix,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,216470,Martin Garrix:We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,0,,
7351,2021-09-05 11:03,Fella,Trust in Me,162811,Fella:Trust in Me,0,,
7352,2021-09-05 11:06,Feder,Call Me Papi (feat. Dawty Music),140248,Feder:Call Me Papi (feat. Dawty Music),0,,
7353,2021-09-05 11:09,Axwell /\ Ingrosso,Dream Bigger,196295,Axwell /\ Ingrosso:Dream Bigger,0,,
7354,2021-09-05 11:13,informal.,Close,258646,informal.:Close,0,,
7355,2021-09-05 11:16,Trinidad Cardona,Dinero,160461,Trinidad Cardona:Dinero,0,,
7356,2021-09-05 11:19,Kungs,Never Going Home,7341,Kungs:Never Going Home,0,,
7357,2021-09-05 11:19,Ehrling,Questions,198182,Ehrling:Questions,0,,
